Description,Category
UPI HP GAS CYLINDER 206658,Utilities
UPI TEA POST 410384,Food
ZARA,Shopping
ABHIBUS,Transport
ATM SALARY - WIPRO 875057,Income
TXN HP PETROL PUMP 112428,Transport
SOCIETY MAINTENANCE,Rent
UPI SHOPPERS STOP 502816,Shopping
TXN CREDIT CARD BILL PAYMENT 389544,Transfer
BIL BESCOM BILL PAYMENT 245565,Utilities
ACH UBER TRIP 2430 285863,Transport
ATM METRO CARD RECHARGE 553033,Transport
ACH TATA CLIQ 492022,Shopping
POS ICICI CC PAYMENT 413708,Transfer
ZEPTO,Food
ACH BIKANERVALA 728719,Food
INDIAN OIL FUEL,Transport
REDBUS TICKET,Transport
UPI WATER BILL PAYMENT 515593,Utilities
NETFLIX SUBSCRIPTION,Entertainment
FASTAG TOLL PAYMENT,Transport
ACH NETMEDS ORDER 673507,Health
POS BLINKIT 248113,Food
ACH AJIO 720018,Shopping
TXN CULT.FIT MEMBERSHIP 524144,Health
BIL BLINKIT 284398,Food
ATM CNG STATION 249836,Transport
BIL ELECTRICITY BILL (MSEB) 348329,Utilities
POS LOCAL KIRANA STORE 872700,Food
ACH TITAN EYE PLUS 861912,Shopping
ATM ZOMATO ORDER #9946 997246,Food
TXN MARUTI SUZUKI SERVICE 898984,Transport
HALDIRAMS,Food
PETROL SHELL,Transport
MCDONALDS POS,Food
ATM STEAM GAMES 356991,Entertainment
ACH APPLE MUSIC 172350,Entertainment
PVR CINEMAS,Entertainment
POS INDANE GAS BOOKING 153751,Utilities
ATM FIVERR CREDIT 249983,Income
TXN FORTIS HOSPITAL BILL 737217,Health
ACH H&M STORE 104013,Shopping
ATM IMAGICA TICKETS 916070,Entertainment
UPI VIJAY SALES 295450,Shopping
ZARA,Shopping
BIL BESCOM BILL PAYMENT 207934,Utilities
ATM ZEPTO 356488,Food
POS CAR SERVICE CENTER 203486,Transport
TXN MONTHLY RENT PAYMENT 196865,Rent
ACH AMAZON INDIA 313430,Shopping
TXN IRCTC RAIL BOOKING 736197,Transport
LOCAL KIRANA STORE,Food
TXN OLA CABS RIDE 607198,Transport
POS TEA POST 747082,Food
DECATHLON SPORTS,Shopping
ACH KFC 156857,Food
UPI PETROL SHELL 738939,Transport
POS METRO CARD RECHARGE 256891,Transport
PARKING CHARGES,Transport
TXN BROKERAGE FEE 990808,Rent
ACH MORE SUPERMARKET 202708,Food
BIL RAPIDO BIKE 945902,Transport
UPI RENT OCT 915816,Rent
TXN PETROL SHELL 619345,Transport
UPI PARKING CHARGES 661673,Transport
POS FLIPKART ORDER 691425,Shopping
ATM AIRTEL BILL PAYMENT 736257,Utilities
BIL AMAZON INDIA 228216,Shopping
UPI UPI CREDIT FROM POOJA 758871,Income
UPI D-MART GROCERY 280423,Food
POS JIO MOBILE RECHARGE 257416,Utilities
LENSKART,Shopping
ADIDAS FACTORY OUTLET,Shopping
ATM PARADISE BIRYANI 197638,Food
BIGBASKET ORDER,Food
ACH BHARAT PETROLEUM 919363,Transport
ACH SALARY CREDITED - TCS 518749,Income
ATM INDIAN OIL FUEL 263994,Transport
INDIAN OIL FUEL,Transport
ACH INOX MOVIES 439007,Entertainment
ACH ELECTRICITY BILL (MSEB) 409246,Utilities
CAFE COFFEE DAY,Food
POS LOAN REPAYMENT 867166,Transfer
BIL AMAZON INDIA 417054,Shopping
TXN MCDONALDS POS 185243,Food
ACH HP PETROL PUMP 473622,Transport
MONTHLY RENT PAYMENT,Rent
POS MYNTRA FASHION 518562,Shopping
ACH UBER TRIP 1044 110503,Transport
ACH CHAI POINT 981412,Food
POS DISNEY+ HOTSTAR 360786,Entertainment
POS DIVIDEND RECEIVED 397147,Income
POS SPENCER RETAIL 710786,Food
UPI STEAM GAMES 487713,Entertainment
UBER TRIP 9211,Transport
WONDERLA ENTRY,Entertainment
AMAZON PRIME,Entertainment
BIL HOUSE RENT TRANSFER 572163,Rent
ACH BURGER KING 835338,Food
BIL MORE SUPERMARKET 990883,Food
ACH BOOKMYSHOW 393656,Entertainment
ATM BESCOM BILL PAYMENT 269050,Utilities
POS DR. SHARMA CLINIC 480527,Health
TXN FASTAG TOLL PAYMENT 698770,Transport
ATM LOCAL KIRANA STORE 388209,Food
ACH FLIPKART ORDER 471189,Shopping
AMAZON PRIME,Entertainment
TXN ELECTRICITY BILL (MSEB) 599636,Utilities
UPI ADANI ELECTRICITY 424469,Utilities
NATURE BASKET,Food
POS PVR CINEMAS 309143,Entertainment
DECATHLON SPORTS,Shopping
BIL REDBUS TICKET 185413,Transport
BIL FABINDIA 561969,Shopping
UPI HALDIRAMS 892034,Food
POS BHARAT PETROLEUM 290334,Transport
ACH RAPIDO BIKE 376632,Transport
TXN LENSKART 593891,Shopping
SENT TO FRIEND,Transfer
UPI SWIGGY *1743 746331,Food
LENSKART,Shopping
TXN STARBUCKS COFFEE 216826,Food
TXN NETFLIX SUBSCRIPTION 217135,Entertainment
TXN WATER BILL PAYMENT 926693,Utilities
TATA CLIQ,Shopping
TXN METRO CARD RECHARGE 451976,Transport
STARBUCKS COFFEE,Food
ACH MGL GAS BILL 497589,Utilities
UPI LOCAL KIRANA STORE 716286,Food
UBER TRIP 9435,Transport
TXN VI POSTPAID BILL 689583,Utilities
UPI MORE SUPERMARKET 772539,Food
WONDERLA ENTRY,Entertainment
ATM ADIDAS FACTORY OUTLET 332197,Shopping
PANTALOONS,Shopping
SHOPPERS STOP,Shopping
UPI ROYAL ENFIELD SERVICE 596998,Transport
UPI WONDERLA ENTRY 820235,Entertainment
BIL MCDONALDS POS 689563,Food
UPI HDFC CREDIT CARD 801922,Transfer
ACH NATURE BASKET 990315,Food
ATM BROKERAGE FEE 522485,Rent
ATM INDANE GAS BOOKING 975802,Utilities
NETFLIX SUBSCRIPTION,Entertainment
MARUTI SUZUKI SERVICE,Transport
PANTALOONS,Shopping
TXN ZARA 179209,Shopping
TXN MAX HEALTHCARE 870138,Health
ADIDAS FACTORY OUTLET,Shopping
ATM JIO MOBILE RECHARGE 637116,Utilities
TXN ROYAL ENFIELD SERVICE 381467,Transport
BIL BROKERAGE FEE 533947,Rent
UPI LOCAL KIRANA STORE 985609,Food
TXN ZEPTO 131465,Food
HOUSE RENT TRANSFER,Rent
NIKE STORE,Shopping
UPI SCHOOL FEE PAYMENT 670867,Education
MARUTI SUZUKI SERVICE,Transport
TXN JIO MOBILE RECHARGE 199934,Utilities
DIVIDEND RECEIVED,Income
UPI H&M STORE 654966,Shopping
BHARAT PETROLEUM,Transport
CAFE COFFEE DAY,Food
ATM HALDIRAMS 805807,Food
BIL BLINKIT 283653,Food
WONDERLA ENTRY,Entertainment
MGL GAS BILL,Utilities
BIL FLIPKART ORDER 160252,Shopping
ACH ROYAL ENFIELD SERVICE 665097,Transport
